row ID,MaritalStatus,Gender,EstimatedYearlyIncome,NumberOfContracts,Age,Target,Available401K,CustomerValueSegment,ChurnScore,CallActivity,SentimentRating,Products,WebActivity,Iteration
R1361_Row1361_Row1361_Row1361#0,M,F,160000,4,39,0,0,1,1,5,4,CO Investment,5,0
R1367_Row1367_Row1367_Row1367#0,S,F,10000,2,37,0,0,3,0,1,0,CO Investment,0,0
R1368_Row1368_Row1368_Row1368#0,S,M,10000,2,37,0,0,3,0.1,1,0,CO Investment,0,0
R1374_Row1374_Row1374_Row1374#0,S,F,20000,2,30,0,0,3,0,1,0,CO Investment,0,0
R1375_Row1375_Row1375_Row1375#0,S,M,20000,2,30,0,1,3,0.1,1,0,CO Investment,0,0
R1376_Row1376_Row1376_Row1376#0,S,F,20000,2,30,0,0,3,0.1,1,0,CO Investment,0,0
R1382_Row1382_Row1382_Row1382#0,S,F,20000,2,37,1,0,3,0.1,1,0,CO Investment,0,0
R1386_Row1386_Row1386_Row1386#0,S,F,20000,2,38,1,0,3,0.1,1,0,CO Investment,0,0
R1392_Row1392_Row1392_Row1392#0,S,F,10000,2,39,0,0,3,0,1,0,CO Investment,0,0
R1393_Row1393_Row1393_Row1393#0,S,F,20000,2,39,0,0,3,0,1,0,CO Investment,0,0
R1394_Row1394_Row1394_Row1394#0,S,F,20000,2,39,1,0,3,0.1,1,0,CO Investment,0,0
R1423_Row1423_Row1423_Row1423#0,S,F,20000,2,56,1,0,2,0.1,2,3,CO Investment,0,0
R1475_Row1475_Row1475_Row1475#0,S,M,10000,2,45,1,1,3,0,1,4,CO Investment,3,0
R1480_Row1480_Row1480_Row1480#0,S,F,10000,1,46,1,1,3,0,1,5,CO Investment,2,0
R1481_Row1481_Row1481_Row1481#0,S,M,10000,1,46,0,1,3,0,1,5,CO Investment,2,0
R1482_Row1482_Row1482_Row1482#0,S,M,10000,1,46,0,1,3,0,1,3,CO Investment,2,0
R1521_Row1521_Row1521_Row1521#0,S,F,10000,2,35,1,0,3,0,1,0,CO Investment,0,0
R1660_Row1660_Row1660_Row1660#0,M,F,80000,4,62,0,1,3,1,3,5,CO Investment,1,0
R1661_Row1661_Row1661_Row1661#0,M,F,80000,4,63,0,1,3,1,3,5,CO Investment,1,0
R1662_Row1662_Row1662_Row1662#0,M,M,90000,2,63,0,0,3,0.5,3,5,CO Investment,0,0
R1663_Row1663_Row1663_Row1663#0,M,F,90000,2,63,0,1,3,1,3,5,CO Investment,0,0
R1683_Row1683_Row1683_Row1683#0,S,F,120000,4,37,1,1,1,1,4,5,CO Investment,5,0
R1684_Row1684_Row1684_Row1684#0,M,M,120000,4,37,1,1,1,1,4,0,CO Investment,5,0
R1694_Row1694_Row1694_Row1694#0,S,M,120000,4,38,1,1,1,1,4,0,CO Investment,5,0
R1699_Row1699_Row1699_Row1699#0,M,F,120000,4,40,1,1,1,1,4,0,CO Investment,5,0
R1700_Row1700_Row1700_Row1700#0,M,F,110000,4,39,1,1,1,1,4,0,CO Investment,5,0
R1701_Row1701_Row1701_Row1701#0,M,M,110000,4,38,1,1,1,1,4,0,CO Investment,5,0
R1702_Row1702_Row1702_Row1702#0,M,F,110000,4,39,1,1,1,1,4,0,CO Investment,5,0
R1703_Row1703_Row1703_Row1703#0,M,F,110000,4,39,1,1,1,1,4,0,CO Investment,5,0
R1704_Row1704_Row1704_Row1704#0,M,F,120000,4,39,0,1,1,1,5,0,CO Investment,5,0
R1711_Row1711_Row1711_Row1711#0,S,F,20000,2,37,1,0,3,0.1,1,0,CO Investment,0,0
R1712_Row1712_Row1712_Row1712#0,S,M,20000,2,37,1,0,3,0,1,0,CO Investment,0,0
R1713_Row1713_Row1713_Row1713#0,S,F,20000,2,37,1,0,3,0.1,1,0,CO Investment,0,0
R1722_Row1722_Row1722_Row1722#0,S,F,20000,2,30,0,0,3,0,1,0,CO Investment,0,0
R1723_Row1723_Row1723_Row1723#0,M,M,20000,2,29,0,0,3,0,1,0,CO Investment,0,0
R1724_Row1724_Row1724_Row1724#0,S,M,20000,2,30,0,0,3,0.1,1,0,CO Investment,0,0
R1725_Row1725_Row1725_Row1725#0,M,F,10000,2,100,0,0,3,0.1,1,4,CO Investment,0,0
R1726_Row1726_Row1726_Row1726#0,S,M,20000,2,30,0,0,3,0,1,0,CO Investment,0,0
R1727_Row1727_Row1727_Row1727#0,S,F,20000,2,30,0,0,3,0.1,1,0,CO Investment,0,0
R1732_Row1732_Row1732_Row1732#0,S,M,10000,2,38,0,1,3,0.1,1,0,CO Investment,0,0
R1733_Row1733_Row1733_Row1733#0,S,F,10000,2,38,0,0,3,0,1,0,CO Investment,0,0
R1734_Row1734_Row1734_Row1734#0,S,F,10000,2,38,0,0,3,0.1,1,0,CO Investment,0,0
R1735_Row1735_Row1735_Row1735#0,S,M,20000,2,37,1,1,3,0.1,1,0,CO Investment,0,0
R1736_Row1736_Row1736_Row1736#0,S,F,20000,2,38,1,1,3,0.1,1,0,CO Investment,0,0
R1746_Row1746_Row1746_Row1746#0,S,M,10000,2,39,0,0,3,0,1,0,CO Investment,0,0
R1747_Row1747_Row1747_Row1747#0,S,F,20000,2,38,1,0,3,0.1,1,0,CO Investment,0,0
R1765_Row1765_Row1765_Row1765#0,M,F,20000,2,56,1,0,2,0,1,2,CO Investment,0,0
R1766_Row1766_Row1766_Row1766#0,M,F,20000,2,56,1,0,2,0.1,2,3,CO Investment,0,0
R1816_Row1816_Row1816_Row1816#0,S,F,10000,2,44,1,1,3,0,1,5,CO Investment,4,0
R1817_Row1817_Row1817_Row1817#0,S,M,10000,2,44,1,1,3,0,1,5,CO Investment,4,0
R1826_Row1826_Row1826_Row1826#0,S,M,10000,2,45,1,1,3,0,1,5,CO Investment,3,0
R1828_Row1828_Row1828_Row1828#0,S,F,10000,1,46,0,1,3,0,1,5,CO Investment,2,0
R1835_Row1835_Row1835_Row1835#0,S,M,10000,2,47,0,1,3,0,1,3,CO Investment,2,0
R1866_Row1866_Row1866_Row1866#0,S,F,10000,2,35,1,1,3,0,1,0,CO Investment,0,0
R1867_Row1867_Row1867_Row1867#0,S,F,10000,2,35,1,1,3,0,1,0,CO Investment,0,0
R1870_Row1870_Row1870_Row1870#0,S,M,20000,1,34,0,0,3,0.5,1,0,CO Investment,0,0
R1873_Row1873_Row1873_Row1873#0,S,F,20000,2,36,1,0,3,0,1,0,CO Investment,0,0
R1874_Row1874_Row1874_Row1874#0,S,F,20000,2,36,1,0,3,0,1,0,CO Investment,0,0
R2020_Row2020_Row2020_Row2020#0,M,M,10000,2,65,1,1,1,0.5,2,2,CO Investment,1,0
R2022_Row2022_Row2022_Row2022#0,M,M,10000,2,63,1,1,1,0.5,2,2,CO Investment,1,0
R2026_Row2026_Row2026_Row2026#0,S,F,10000,2,62,0,1,1,0.5,2,2,CO Investment,1,0
R2027_Row2027_Row2027_Row2027#0,S,M,40000,2,32,1,1,2,0.5,2,0,CO Investment,0,0
R2085_Row2085_Row2085_Row2085#0,S,M,30000,2,36,1,1,2,0.5,3,0,CO Investment,0,0
R2093_Row2093_Row2093_Row2093#0,S,F,80000,2,52,1,0,2,0.1,3,2,CO Investment,0,0
R2241_Row2241_Row2241_Row2241#0,M,F,40000,2,60,1,1,2,1,3,2,CO Investment,1,0
R2315_Row2315_Row2315_Row2315#0,M,M,80000,2,56,1,1,2,0.5,3,2,CO Investment,0,0
R2316_Row2316_Row2316_Row2316#0,M,M,80000,2,56,1,1,2,0.5,3,3,CO Investment,0,0
R2318_Row2318_Row2318_Row2318#0,M,F,60000,2,56,0,1,2,0.5,3,2,CO Investment,0,0
R2391_Row2391_Row2391_Row2391#0,M,F,40000,3,59,1,1,2,1,3,2,CO Investment,1,0
R2456_Row2456_Row2456_Row2456#0,S,F,80000,2,55,1,1,2,0.5,3,2,CO Investment,0,0
R2460_Row2460_Row2460_Row2460#0,S,F,80000,2,56,1,0,2,0.1,3,2,CO Investment,0,0
R2472_Row2472_Row2472_Row2472#0,M,M,80000,2,56,1,1,2,0.5,3,2,CO Investment,0,0
R2473_Row2473_Row2473_Row2473#0,M,M,80000,2,56,1,0,2,0.1,3,3,CO Investment,0,0
R2474_Row2474_Row2474_Row2474#0,M,F,60000,2,56,0,0,2,0.1,3,2,CO Investment,0,0
R2475_Row2475_Row2475_Row2475#0,M,M,60000,2,56,0,1,2,0.5,3,2,CO Investment,0,0
R2476_Row2476_Row2476_Row2476#0,M,M,60000,2,56,0,0,2,0.1,3,2,CO Investment,0,0
R2592_Row2592_Row2592_Row2592#0,M,F,70000,2,58,1,1,3,0.2,3,5,CO Investment,2,0
R2595_Row2595_Row2595_Row2595#0,S,M,70000,2,59,1,1,3,1,3,5,CO Investment,2,0
R2612_Row2612_Row2612_Row2612#0,M,F,130000,4,63,0,0,3,1,4,5,CO Investment,5,0
R2622_Row2622_Row2622_Row2622#0,M,M,70000,4,36,1,1,1,1,4,0,CO Investment,0,0
R2643_Row2643_Row2643_Row2643#0,S,M,100000,4,40,1,1,1,1,4,0,CO Investment,5,0
R2644_Row2644_Row2644_Row2644#0,M,F,100000,4,40,1,1,1,1,4,0,CO Investment,5,0
R2645_Row2645_Row2645_Row2645#0,S,M,100000,4,40,1,1,1,1,4,0,CO Investment,5,0
R2647_Row2647_Row2647_Row2647#0,S,M,120000,4,40,1,1,1,1,4,0,CO Investment,5,0
R2648_Row2648_Row2648_Row2648#0,S,M,120000,4,40,1,1,1,1,4,0,CO Investment,5,0
R2649_Row2649_Row2649_Row2649#0,M,F,110000,4,39,1,1,1,1,4,0,CO Investment,5,0
R2650_Row2650_Row2650_Row2650#0,M,M,110000,4,39,1,1,1,1,5,0,CO Investment,5,0
R2651_Row2651_Row2651_Row2651#0,M,M,120000,4,39,1,1,1,1,5,0,CO Investment,5,0
R2662_Row2662_Row2662_Row2662#0,S,M,20000,2,35,1,1,3,0.1,1,0,CO Investment,0,0
R2663_Row2663_Row2663_Row2663#0,S,M,10000,2,37,0,0,3,0.1,1,0,CO Investment,0,0
R2664_Row2664_Row2664_Row2664#0,S,M,10000,2,37,0,0,3,0,1,0,CO Investment,0,0
R2665_Row2665_Row2665_Row2665#0,M,F,10000,2,37,0,0,3,0,1,0,CO Investment,0,0
R2666_Row2666_Row2666_Row2666#0,S,F,20000,2,37,1,0,3,0.1,1,0,CO Investment,0,0
R2667_Row2667_Row2667_Row2667#0,S,M,20000,2,37,1,0,3,0.1,1,0,CO Investment,0,0
R2672_Row2672_Row2672_Row2672#0,S,M,20000,2,30,0,0,3,0,1,0,CO Investment,0,0
R2673_Row2673_Row2673_Row2673#0,S,F,20000,2,29,0,0,3,0,1,0,CO Investment,0,0
R2674_Row2674_Row2674_Row2674#0,S,M,20000,2,30,0,1,3,0.1,1,0,CO Investment,0,0
R2675_Row2675_Row2675_Row2675#0,S,M,20000,2,30,0,0,3,0,1,0,CO Investment,0,0
R2676_Row2676_Row2676_Row2676#0,M,M,20000,2,30,0,0,3,0,1,0,CO Investment,0,0
R2684_Row2684_Row2684_Row2684#0,S,M,10000,2,38,0,0,3,0.1,1,0,CO Investment,0,0
R2690_Row2690_Row2690_Row2690#0,S,F,20000,2,38,1,0,3,0.1,1,0,CO Investment,0,0
R2693_Row2693_Row2693_Row2693#0,S,M,20000,2,39,1,0,3,0.1,1,0,CO Investment,0,0
R2719_Row2719_Row2719_Row2719#0,M,M,20000,2,55,1,0,2,0.1,1,2,CO Investment,0,0
R2720_Row2720_Row2720_Row2720#0,M,M,20000,2,56,1,0,2,0.1,1,3,CO Investment,0,0
R2721_Row2721_Row2721_Row2721#0,S,M,20000,2,56,1,1,2,0.1,2,3,CO Investment,0,0
R2773_Row2773_Row2773_Row2773#0,M,F,10000,1,43,0,0,3,0,1,3,CO Investment,3,0
R2774_Row2774_Row2774_Row2774#0,S,M,10000,1,43,1,1,3,0,1,3,CO Investment,3,0
R2775_Row2775_Row2775_Row2775#0,S,F,10000,0,43,0,1,3,0,1,4,CO Investment,4,0
R2779_Row2779_Row2779_Row2779#0,S,M,10000,1,43,1,1,3,0,1,4,CO Investment,4,0
R2789_Row2789_Row2789_Row2789#0,S,F,10000,2,45,1,1,3,0,1,4,CO Investment,3,0
R2796_Row2796_Row2796_Row2796#0,M,F,10000,2,47,0,0,3,0,1,3,CO Investment,2,0
R2839_Row2839_Row2839_Row2839#0,S,M,10000,2,36,1,0,3,0,1,0,CO Investment,0,0
R2840_Row2840_Row2840_Row2840#0,M,M,10000,2,36,1,1,3,0,1,0,CO Investment,0,0
R2841_Row2841_Row2841_Row2841#0,S,M,20000,2,36,1,0,3,0.1,1,0,CO Investment,0,0
R2842_Row2842_Row2842_Row2842#0,S,M,20000,2,36,1,0,3,0,1,0,CO Investment,0,0
R2988_Row2988_Row2988_Row2988#0,S,M,40000,2,31,0,1,2,0.5,2,0,CO Investment,0,0
R2998_Row2998_Row2998_Row2998#0,M,M,10000,2,61,0,1,1,0.5,2,2,CO Investment,1,0
R3000_Row3000_Row3000_Row3000#0,S,M,40000,2,33,0,0,2,0.5,2,0,CO Investment,0,0
R3001_Row3001_Row3001_Row3001#0,S,M,40000,2,33,0,0,2,0.1,2,0,CO Investment,0,0
R3007_Row3007_Row3007_Row3007#0,M,F,10000,2,61,1,1,1,0.1,2,2,CO Investment,1,0
R3008_Row3008_Row3008_Row3008#0,M,F,10000,2,61,0,1,1,0.5,2,2,CO Investment,1,0
R3009_Row3009_Row3009_Row3009#0,M,F,20000,2,61,0,1,1,0.1,2,2,CO Investment,1,0
R3040_Row3040_Row3040_Row3040#0,S,F,80000,2,53,0,0,2,0.1,3,2,CO Investment,0,0
R3041_Row3041_Row3041_Row3041#0,S,F,80000,2,53,1,1,2,0.5,3,2,CO Investment,0,0
R3088_Row3088_Row3088_Row3088#0,S,F,30000,2,32,1,1,2,0.5,2,0,CO Investment,0,0
R3090_Row3090_Row3090_Row3090#0,M,F,30000,2,32,0,0,2,0,2,0,CO Investment,0,0
R3091_Row3091_Row3091_Row3091#0,S,M,30000,2,33,0,0,2,0,2,0,CO Investment,0,0
R3092_Row3092_Row3092_Row3092#0,S,M,30000,2,32,0,1,2,0.5,2,0,CO Investment,0,0
R3093_Row3093_Row3093_Row3093#0,S,F,30000,2,33,0,1,2,0.5,2,0,CO Investment,0,0
R3096_Row3096_Row3096_Row3096#0,S,M,30000,2,31,0,0,2,0,2,0,CO Investment,0,0
R3200_Row3200_Row3200_Row3200#0,M,F,70000,4,62,1,1,3,0.5,3,5,CO Investment,1,0
R3202_Row3202_Row3202_Row3202#0,S,M,90000,4,62,0,1,3,1,3,4,CO Investment,1,0
R3204_Row3204_Row3204_Row3204#0,M,F,80000,2,63,0,0,3,0.5,3,5,CO Investment,0,0
R3205_Row3205_Row3205_Row3205#0,S,M,90000,2,63,0,1,3,1,3,5,CO Investment,0,0
R3206_Row3206_Row3206_Row3206#0,M,M,100000,1,63,0,0,3,0.5,4,4,CO Investment,5,0
R3207_Row3207_Row3207_Row3207#0,M,M,110000,3,63,1,1,3,1,4,4,CO Investment,5,0
R3231_Row3231_Row3231_Row3231#0,M,F,120000,4,38,0,1,1,1,4,0,CO Investment,5,0
R3235_Row3235_Row3235_Row3235#0,M,M,100000,4,40,1,0,1,1,4,0,CO Investment,5,0
R3237_Row3237_Row3237_Row3237#0,M,F,120000,4,40,0,1,1,1,4,0,CO Investment,5,0
R3238_Row3238_Row3238_Row3238#0,M,M,120000,4,40,1,1,1,1,4,0,CO Investment,5,0
R3290_Row3290_Row3290_Row3290#0,S,M,70000,2,53,1,1,2,0.5,3,2,CO Investment,0,0
R3291_Row3291_Row3291_Row3291#0,S,M,70000,2,53,0,0,2,0.1,3,2,CO Investment,0,0
R3292_Row3292_Row3292_Row3292#0,S,F,70000,2,53,1,1,2,0.5,3,2,CO Investment,0,0
R3333_Row3333_Row3333_Row3333#0,S,M,30000,2,30,0,0,2,0.5,2,0,CO Investment,0,0
R3339_Row3339_Row3339_Row3339#0,S,F,30000,2,32,0,0,2,0,2,0,CO Investment,0,0
R3341_Row3341_Row3341_Row3341#0,M,M,30000,2,30,0,0,2,0,2,0,CO Investment,0,0
R3478_Row3478_Row3478_Row3478#0,S,F,80000,2,56,1,1,2,0.5,3,2,CO Investment,0,0
R3487_Row3487_Row3487_Row3487#0,M,M,60000,2,56,0,1,2,0.5,3,2,CO Investment,0,0
R3688_Row3688_Row3688_Row3688#0,S,F,20000,2,30,0,0,3,0.1,1,0,CO Investment,0,0
R3689_Row3689_Row3689_Row3689#0,S,F,20000,2,29,0,0,3,0,1,0,CO Investment,0,0
R3690_Row3690_Row3690_Row3690#0,S,M,20000,2,30,0,0,3,0.1,1,0,CO Investment,0,0
R3695_Row3695_Row3695_Row3695#0,S,M,10000,2,38,0,0,3,0,1,0,CO Investment,0,0
R3696_Row3696_Row3696_Row3696#0,S,M,10000,2,38,0,0,3,0,1,0,CO Investment,0,0
R3697_Row3697_Row3697_Row3697#0,S,M,20000,2,38,1,0,3,0.1,1,0,CO Investment,0,0
R3701_Row3701_Row3701_Row3701#0,S,M,20000,2,38,1,0,3,0.1,1,0,CO Investment,0,0
R3704_Row3704_Row3704_Row3704#0,S,F,10000,2,39,0,0,3,0,1,0,CO Investment,0,0
R3707_Row3707_Row3707_Row3707#0,S,F,10000,2,38,0,0,3,0,1,0,CO Investment,0,0
R3708_Row3708_Row3708_Row3708#0,S,F,20000,2,39,1,0,3,0.1,1,0,CO Investment,0,0
R3736_Row3736_Row3736_Row3736#0,M,M,20000,2,56,0,0,2,0,1,3,CO Investment,0,0
R3737_Row3737_Row3737_Row3737#0,S,M,20000,2,56,1,1,2,0.1,2,3,CO Investment,0,0
R3778_Row3778_Row3778_Row3778#0,S,F,10000,1,43,1,1,3,0,1,3,CO Investment,3,0
R3779_Row3779_Row3779_Row3779#0,S,M,10000,1,43,1,1,3,0,1,3,CO Investment,3,0
R3780_Row3780_Row3780_Row3780#0,S,F,10000,0,43,0,1,3,0,1,4,CO Investment,4,0
R3796_Row3796_Row3796_Row3796#0,S,M,10000,2,45,1,1,3,0,1,4,CO Investment,3,0
R3797_Row3797_Row3797_Row3797#0,S,M,10000,2,45,1,1,3,0,1,4,CO Investment,3,0
R3798_Row3798_Row3798_Row3798#0,S,F,10000,2,45,1,1,3,0,1,4,CO Investment,3,0
R3801_Row3801_Row3801_Row3801#0,M,F,10000,2,46,1,0,3,0,1,3,CO Investment,2,0
R3804_Row3804_Row3804_Row3804#0,S,F,10000,2,47,0,1,3,0,1,3,CO Investment,2,0
R3805_Row3805_Row3805_Row3805#0,S,F,10000,2,47,0,1,3,0,1,3,CO Investment,2,0
R3806_Row3806_Row3806_Row3806#0,S,M,10000,2,47,0,1,3,0,1,3,CO Investment,2,0
R3807_Row3807_Row3807_Row3807#0,S,F,10000,2,47,0,1,3,0,1,4,CO Investment,2,0
R3808_Row3808_Row3808_Row3808#0,S,F,10000,2,47,0,1,3,0,1,4,CO Investment,2,0
R3841_Row3841_Row3841_Row3841#0,M,M,20000,1,98,0,1,3,0.1,1,2,CO Investment,0,0
R3844_Row3844_Row3844_Row3844#0,S,M,20000,1,35,0,0,3,0.2,1,0,CO Investment,0,0
R3845_Row3845_Row3845_Row3845#0,S,F,10000,2,36,0,0,3,0,1,0,CO Investment,0,0
R3846_Row3846_Row3846_Row3846#0,S,F,20000,2,35,1,1,3,0.1,1,0,CO Investment,0,0
R3847_Row3847_Row3847_Row3847#0,S,F,20000,2,36,1,0,3,0.1,1,0,CO Investment,0,0
R3850_Row3850_Row3850_Row3850#0,S,F,10000,2,37,0,0,3,0,1,0,CO Investment,0,0
R3851_Row3851_Row3851_Row3851#0,S,F,20000,2,37,1,1,3,0.1,1,0,CO Investment,0,0
R3854_Row3854_Row3854_Row3854#0,S,F,20000,2,61,0,1,1,0.5,2,2,CO Investment,1,0
R3856_Row3856_Row3856_Row3856#0,S,F,40000,2,33,0,1,2,0.5,2,0,CO Investment,0,0
R3857_Row3857_Row3857_Row3857#0,M,F,20000,2,61,0,1,1,0.1,2,2,CO Investment,1,0
R3885_Row3885_Row3885_Row3885#0,M,F,20000,2,56,1,0,2,0,1,3,CO Investment,0,0
R3886_Row3886_Row3886_Row3886#0,S,F,20000,2,56,1,1,2,0.1,1,3,CO Investment,0,0
R3937_Row3937_Row3937_Row3937#0,S,M,10000,1,43,1,1,3,0,1,4,CO Investment,4,0
R3944_Row3944_Row3944_Row3944#0,S,M,10000,2,45,1,1,3,0,1,5,CO Investment,3,0
R3945_Row3945_Row3945_Row3945#0,S,F,10000,2,44,1,1,3,0,1,5,CO Investment,3,0
R3950_Row3950_Row3950_Row3950#0,S,F,10000,2,46,1,1,3,0,1,3,CO Investment,2,0
R3953_Row3953_Row3953_Row3953#0,S,F,10000,2,47,0,1,3,0,1,3,CO Investment,2,0
R3954_Row3954_Row3954_Row3954#0,S,F,10000,2,47,0,1,3,0,1,3,CO Investment,2,0
R3988_Row3988_Row3988_Row3988#0,M,F,10000,2,35,0,1,3,0,1,0,CO Investment,0,0
R3992_Row3992_Row3992_Row3992#0,M,M,20000,1,98,0,1,3,0.5,1,2,CO Investment,0,0
R3993_Row3993_Row3993_Row3993#0,S,M,20000,1,35,0,1,3,0.2,1,0,CO Investment,0,0
R3994_Row3994_Row3994_Row3994#0,S,M,20000,1,34,0,0,3,0.2,1,0,CO Investment,0,0
R3995_Row3995_Row3995_Row3995#0,S,F,20000,2,36,1,0,3,0.1,1,0,CO Investment,0,0
R3998_Row3998_Row3998_Row3998#0,S,M,20000,2,36,1,0,3,0.1,1,0,CO Investment,0,0
R3999_Row3999_Row3999_Row3999#0,S,F,10000,2,37,0,1,3,0.1,1,0,CO Investment,0,0
R4000_Row4000_Row4000_Row4000#0,S,F,10000,2,37,0,0,3,0,1,0,CO Investment,0,0
